id,title,year,medium,dimension,description,additional_information,provenance,exhibitions,image,location,created_at,updated_at,deleted_at,author_id,copyright_line,source_book,source_photo,other_source,owner_id,status
51,,"0000",,,,,,,artworks/June2025/Z5havqKhYMyna8qt7SmH.png,N/A,2025-06-12 09:57:18,2025-06-12 09:57:18,,33,,,,,71,incomplet
52,family-House,1999,,85.5 X 90.5 cm,,,,,artworks/June2025/O25tJDph9Y92sdIpnLab.png,N/A,2025-06-12 09:58:53,2025-06-12 09:58:53,,33,,,,,71,incomplet
53,,"0000",,,,,,,artworks/June2025/rMmf8Myi1ZeT0cb02eBs.png,N/A,2025-06-12 10:00:47,2025-06-12 10:00:47,,33,,,,,71,incomplet
54,,"0000",,,,,,,artworks/June2025/M8cIzPrwv35lMkxkbA7C.png,N/A,2025-06-12 10:02:00,2025-06-12 10:02:00,,33,,,,,71,incomplet
55,طيور منزلية,2012,زيت وباستيل,,,,,,artworks/June2025/sOCO5jzo3ZbmCTcVndq9.png,N/A,2025-06-12 10:03:29,2025-06-12 10:03:29,,33,,,,,9,incomplet
56,تألف لوني,2014,أكريليك,,,,,,artworks/June2025/JqTm7WvqGUt8BE6epl4l.png,N/A,2025-06-12 10:04:17,2025-06-12 10:04:17,,33,,,,,9,incomplet
57,الشيء بالشيء يذكر,1988,زيت وباستيل,,,,,,artworks/June2025/VWJ8XERNKGyfceUo94qv.png,N/A,2025-06-12 10:05:19,2025-06-12 10:05:19,,33,,,,,9,incomplet
58,جارة القمر,"0000",زيت وباستيل,101 X 76 cm,,,,,artworks/June2025/G3eLEMrWtWfDrV81RFZp.png,N/A,2025-06-12 10:08:23,2025-06-12 10:08:23,,33,,,,,9,incomplet
59,إطلالة,1990,,,,,,,artworks/June2025/HCDbFBZQBAVUBAdKtYJQ.png,N/A,2025-06-12 10:09:15,2025-06-12 10:09:15,,33,,,,,9,incomplet
60,,"0000",,,,,,,artworks/June2025/XJKKrHTxPFkfIaDTxPHJ.png,N/A,2025-06-12 10:14:23,2025-06-12 10:14:23,,33,,,,,51,incomplet
61,,"0000",,,,,,,artworks/June2025/fSv7zTPi9nYiAlhbtknJ.png,N/A,2025-06-12 10:14:55,2025-06-12 10:14:55,,33,,,,,51,incomplet
62,,"0000",,,,,,,artworks/June2025/bVTD2oSdjdzVCgKTtP7s.png,N/A,2025-06-12 10:15:26,2025-06-12 10:15:26,,33,,,,,51,incomplet
63,,,,,,,,,artworks/June2025/CwAYliHztHgyUQ6hW6nA.png,N/A,2025-06-12 10:16:11,2025-06-12 10:16:11,,33,,,,,51,incomplet
64,,"0000",,,,,,,artworks/June2025/tITiNpjwtwO8E7GwtTyV.png,N/A,2025-06-12 10:17:18,2025-06-12 10:17:18,,33,,,,,51,incomplet
65,,"0000",,,,,,,artworks/June2025/I9w6B10WqzMsY8oPf7dR.png,N/A,2025-06-12 10:20:15,2025-06-12 10:20:15,,33,,,,,51,incomplet
